"data";"preco_abertura";"preco_alto";"preco_baixo";"preco_fechamento";"volume_negociado";"ativo"
2024-12-19;247.500;252.000;247.095;249.790;58729023;AAPL
2024-12-18;252.160;254.280;247.740;248.050;56774101;AAPL
2024-12-17;250.080;253.830;249.780;253.480;51356360;AAPL
2024-12-16;247.990;251.380;247.650;251.040;51694753;AAPL
2024-12-13;247.815;249.290;246.240;248.130;33155290;AAPL
2024-12-12;246.890;248.740;245.680;247.960;32777532;AAPL
2024-12-11;247.960;250.800;246.260;246.490;45205814;AAPL
2024-12-10;246.890;248.210;245.340;247.770;36914806;AAPL
2024-12-09;241.830;247.240;241.750;246.750;44649232;AAPL
2024-12-06;242.905;244.630;242.080;242.840;36870619;AAPL
2024-12-05;243.990;244.540;242.130;243.040;40033878;AAPL
2024-12-04;242.870;244.110;241.250;243.010;44383935;AAPL
2024-12-03;239.810;242.760;238.900;242.650;38861017;AAPL
2024-12-02;237.270;240.790;237.160;239.590;48137103;AAPL
2024-11-29;234.810;237.810;233.970;237.330;28481377;AAPL
2024-11-27;234.465;235.690;233.810;234.930;33498439;AAPL
2024-11-26;233.330;235.570;233.330;235.060;45986189;AAPL
2024-11-25;231.460;233.245;229.740;232.870;90152832;AAPL
2024-11-22;228.060;230.720;228.060;229.870;38168252;AAPL
2024-11-21;228.880;230.155;225.710;228.520;42108327;AAPL
2024-11-20;228.060;229.930;225.890;229.000;35169566;AAPL
2024-11-19;226.980;230.160;226.660;228.280;36211774;AAPL
2024-11-18;225.250;229.740;225.170;228.020;44686020;AAPL
2024-11-15;226.400;226.920;224.270;225.000;47923696;AAPL
2024-11-14;225.020;228.870;225.000;228.220;44923941;AAPL
2024-11-13;224.010;226.650;222.760;225.120;48566217;AAPL
2024-11-12;224.550;225.590;223.355;224.230;40398299;AAPL
2024-11-11;225.000;225.700;221.500;224.230;42005602;AAPL
2024-11-08;227.170;228.660;226.405;226.960;38328824;AAPL
2024-11-07;224.625;227.875;224.570;227.480;42137691;AAPL
2024-11-06;222.610;226.065;221.190;222.720;54561121;AAPL
2024-11-05;221.795;223.950;221.140;223.450;28111338;AAPL
2024-11-04;220.990;222.790;219.710;222.010;44944468;AAPL
2024-11-01;220.965;225.350;220.270;222.910;65276741;AAPL
2024-10-31;229.340;229.830;225.370;225.910;64370086;AAPL
2024-10-30;232.610;233.470;229.550;230.100;47070907;AAPL
2024-10-29;233.100;234.325;232.320;233.670;35417247;AAPL
2024-10-28;233.320;234.730;232.550;233.400;36087134;AAPL
2024-10-25;229.740;233.220;229.570;231.410;38802304;AAPL
2024-10-24;229.980;230.820;228.410;230.570;31109503;AAPL
2024-10-23;234.080;235.144;227.760;230.760;52286979;AAPL
2024-10-22;233.885;236.220;232.600;235.860;38846578;AAPL
2024-10-21;234.450;236.850;234.450;236.480;36254470;AAPL
2024-10-18;236.180;236.180;234.010;235.000;46431472;AAPL
2024-10-17;233.430;233.850;230.520;232.150;32993810;AAPL
2024-10-16;231.600;232.120;229.840;231.780;34082240;AAPL
2024-10-15;233.610;237.490;232.370;233.850;64751367;AAPL
2024-10-14;228.700;231.730;228.600;231.300;39882085;AAPL
2024-10-11;229.300;229.410;227.340;227.550;31759188;AAPL
2024-10-10;227.780;229.500;227.170;229.040;28183544;AAPL
2024-10-09;225.230;229.750;224.830;229.540;33591091;AAPL
2024-10-08;224.300;225.980;223.250;225.770;31855693;AAPL
2024-10-07;224.500;225.690;221.330;221.690;39505354;AAPL
2024-10-04;227.900;228.000;224.130;226.800;37345098;AAPL
2024-10-03;225.140;226.805;223.320;225.670;34044158;AAPL
2024-10-02;225.890;227.370;223.020;226.780;32880605;AAPL
2024-10-01;229.520;229.650;223.740;226.210;63285048;AAPL
2024-09-30;230.040;233.000;229.650;233.000;54793391;AAPL
2024-09-27;228.460;229.520;227.300;227.790;34025967;AAPL
2024-09-26;227.300;228.500;225.410;227.520;36636707;AAPL
2024-09-25;224.930;227.290;224.020;226.370;42308715;AAPL
2024-09-24;228.645;229.350;225.730;227.370;43556068;AAPL
2024-09-23;227.340;229.450;225.810;226.470;54146023;AAPL
2024-09-20;229.970;233.090;227.620;228.200;318679888;AAPL
2024-09-19;224.990;229.820;224.630;228.870;66781315;AAPL
2024-09-18;217.550;222.710;217.540;220.690;59894928;AAPL
2024-09-17;215.750;216.900;214.500;216.790;45519339;AAPL
2024-09-16;216.540;217.220;213.920;216.320;59357427;AAPL
2024-09-13;223.580;224.040;221.910;222.500;36766619;AAPL
2024-09-12;222.500;223.550;219.820;222.770;37498225;AAPL
2024-09-11;221.455;223.090;217.890;222.660;44587072;AAPL
2024-09-10;218.920;221.480;216.730;220.110;51591033;AAPL
2024-09-09;220.820;221.270;216.710;220.910;67179965;AAPL
2024-09-06;223.950;225.240;219.770;220.820;48423011;AAPL
2024-09-05;221.625;225.480;221.520;222.380;36615398;AAPL
2024-09-04;221.660;221.780;217.480;220.850;43262758;AAPL
2024-09-03;228.550;229.000;221.170;222.770;50190574;AAPL
2024-08-30;230.190;230.400;227.480;229.000;52990770;AAPL
2024-08-29;230.100;232.920;228.880;229.790;51906297;AAPL
2024-08-28;227.920;229.860;225.680;226.490;38052167;AAPL
2024-08-27;225.995;228.850;224.890;228.030;35934559;AAPL
2024-08-26;226.760;227.280;223.891;227.180;30602208;AAPL
2024-08-23;225.659;228.220;224.330;226.840;38677250;AAPL
2024-08-22;227.790;228.340;223.900;224.530;43695321;AAPL
2024-08-21;226.520;227.980;225.050;226.400;34765480;AAPL
2024-08-20;225.770;227.170;225.450;226.510;30299033;AAPL
2024-08-19;225.720;225.990;223.040;225.890;40687813;AAPL
2024-08-16;223.920;226.827;223.650;226.050;44340240;AAPL
2024-08-15;224.600;225.350;222.760;224.720;46414013;AAPL
2024-08-14;220.570;223.030;219.700;221.720;41960574;AAPL
2024-08-13;219.010;221.890;219.010;221.270;44155331;AAPL
2024-08-12;216.070;219.510;215.600;217.530;38028092;AAPL
2024-08-09;212.100;216.780;211.970;216.240;42201646;AAPL
2024-08-08;213.110;214.200;208.830;213.310;47161149;AAPL
2024-08-07;206.900;213.640;206.390;209.820;63516417;AAPL
2024-08-06;205.300;209.990;201.070;207.230;69660488;AAPL
2024-08-05;199.090;213.500;196.000;209.270;119548589;AAPL
2024-08-02;219.150;225.600;217.710;219.860;105568560;AAPL
2024-08-01;224.370;224.480;217.020;218.360;62500996;AAPL
2024-07-31;221.440;223.820;220.630;222.080;50036262;AAPL
2024-12-19;191.625;193.030;188.380;188.510;31350055;GOOGL
2024-12-18;195.220;197.000;187.740;188.400;34166074;GOOGL
2024-12-17;197.250;201.420;194.980;195.420;43504025;GOOGL
2024-12-16;192.870;199.000;192.620;196.660;44934901;GOOGL
2024-12-13;191.010;192.730;189.640;189.820;25143495;GOOGL
2024-12-12;195.000;195.180;191.710;191.960;34817486;GOOGL
2024-12-11;185.310;195.610;184.850;195.400;67894071;GOOGL
2024-12-10;182.845;186.360;181.050;185.170;54813022;GOOGL
2024-12-09;173.960;176.260;173.650;175.370;25389631;GOOGL
2024-12-06;172.030;175.080;171.860;174.710;21462393;GOOGL
2024-12-05;175.360;176.060;172.330;172.640;21356243;GOOGL
2024-12-04;171.145;174.910;171.060;174.370;31615137;GOOGL
2024-12-03;171.490;172.680;170.850;171.340;22248705;GOOGL
2024-12-02;168.765;172.075;168.570;171.490;23789084;GOOGL
2024-11-29;168.500;169.430;167.160;168.950;14257244;GOOGL
2024-11-27;169.000;169.483;168.020;169.230;19266511;GOOGL
2024-11-26;167.630;169.820;167.580;169.120;20486720;GOOGL
2024-11-25;166.090;168.630;165.607;167.650;33135263;GOOGL
2024-11-22;165.850;166.460;163.900;164.760;38604587;GOOGL
2024-11-21;173.900;174.130;163.700;167.630;59734379;GOOGL
2024-11-20;177.340;177.675;173.780;175.980;18997111;GOOGL
2024-11-19;173.720;178.870;173.560;178.120;23434925;GOOGL
2024-11-18;173.420;175.438;172.900;175.300;20206613;GOOGL
2024-11-15;173.730;174.140;171.220;172.490;32504649;GOOGL
2024-11-14;178.280;178.820;174.322;175.580;31007457;GOOGL
2024-11-13;180.460;180.960;178.540;178.880;23184003;GOOGL
2024-11-12;179.820;182.490;179.390;181.620;25134905;GOOGL
2024-11-11;178.580;180.545;178.470;180.350;17450354;GOOGL
2024-11-08;180.645;180.900;178.080;178.350;22006182;GOOGL
2024-11-07;177.410;181.080;177.190;180.750;25352939;GOOGL
2024-11-06;173.800;176.940;173.500;176.510;33695538;GOOGL
2024-11-05;169.430;170.530;168.840;169.740;18242050;GOOGL
2024-11-04;169.930;170.730;168.011;169.240;21492744;GOOGL
2024-11-01;170.070;172.320;168.880;171.290;31796477;GOOGL
2024-10-31;173.130;176.820;171.000;171.110;44768981;GOOGL
2024-10-30;180.680;182.020;174.060;174.460;68890787;GOOGL
2024-10-29;167.730;170.380;167.090;169.680;42169025;GOOGL
2024-10-28;168.750;168.750;163.950;166.720;32138641;GOOGL
2024-10-25;163.670;165.590;163.420;165.270;19828884;GOOGL
2024-10-24;162.830;163.330;161.010;162.720;22412527;GOOGL
2024-10-23;164.760;165.820;161.925;162.780;18280518;GOOGL
2024-10-22;162.980;165.770;162.980;165.140;16568121;GOOGL
2024-10-21;162.950;164.500;162.620;164.070;20946455;GOOGL
2024-10-18;163.190;164.710;163.080;163.420;19757661;GOOGL
2024-10-17;165.730;166.370;162.760;162.930;21453395;GOOGL
2024-10-16;164.530;165.800;163.740;165.160;16406030;GOOGL
2024-10-15;165.785;167.680;164.625;165.460;20247195;GOOGL
2024-10-14;163.640;166.226;163.400;164.960;19016141;GOOGL
2024-10-11;162.130;163.900;161.235;163.240;15344251;GOOGL
2024-10-10;160.870;163.070;160.395;162.080;14144068;GOOGL
2024-10-09;163.450;164.840;159.740;161.860;31181774;GOOGL
2024-10-08;163.940;164.725;162.870;164.380;23072733;GOOGL
2024-10-07;167.720;168.480;162.750;162.980;22463140;GOOGL
2024-10-04;168.060;168.230;165.480;167.060;19093724;GOOGL
2024-10-03;164.410;166.640;163.923;165.860;15073101;GOOGL
2024-10-02;166.420;167.520;164.730;165.860;17760179;GOOGL
2024-10-01;167.685;169.160;164.580;166.990;28338123;GOOGL
2024-09-30;163.320;166.150;163.260;165.850;20481303;GOOGL
2024-09-27;162.810;165.700;162.626;163.950;21101307;GOOGL
2024-09-26;163.640;164.080;162.280;162.730;20319336;GOOGL
2024-09-25;161.470;162.810;161.300;161.490;18869199;GOOGL
2024-09-24;163.030;163.216;160.690;162.290;23332147;GOOGL
2024-09-23;164.350;165.490;161.670;161.850;24150852;GOOGL
2024-09-20;163.500;163.730;162.060;163.590;40896438;GOOGL
2024-09-19;163.710;163.790;161.340;162.140;26587733;GOOGL
2024-09-18;159.860;160.500;158.595;159.810;23677315;GOOGL
2024-09-17;159.020;160.550;158.375;159.320;20715612;GOOGL
2024-09-16;157.310;158.250;156.600;158.060;18379775;GOOGL
2024-09-13;155.430;158.380;155.210;157.460;29591152;GOOGL
2024-09-12;153.800;154.820;152.650;154.690;29695048;GOOGL
2024-09-11;149.920;151.500;147.520;151.160;29607693;GOOGL
2024-09-10;150.450;151.270;148.340;148.660;31118765;GOOGL
2024-09-09;152.510;153.400;147.215;148.710;39260451;GOOGL
2024-09-06;157.300;157.830;150.550;150.920;37912130;GOOGL
2024-09-05;156.300;159.450;155.981;157.240;18688747;GOOGL
2024-09-04;156.655;159.000;155.962;156.450;19197458;GOOGL
2024-09-03;161.720;161.850;156.480;157.360;38945301;GOOGL
2024-08-30;162.615;163.660;161.693;163.380;22123811;GOOGL
2024-08-29;164.310;165.970;160.250;161.780;19699767;GOOGL
2024-08-28;165.035;165.600;161.528;162.850;16407444;GOOGL
2024-08-27;165.835;166.443;164.460;164.680;11821941;GOOGL
2024-08-26;166.380;167.550;164.455;166.160;14190417;GOOGL
