"data","descricao"
2000-01-01,Ano Novo
2001-12-25,Natal
2000-04-23,Páscoa
2000-03-07,Carnaval
2000-04-21,Sexta-feira Santa
2000-06-22,Corpus Christi
2001-04-15,Páscoa
2001-02-27,Carnaval
2001-04-13,Sexta-feira Santa
2001-06-14,Corpus Christi
2002-03-31,Páscoa
2002-02-12,Carnaval
2002-03-29,Sexta-feira Santa
2002-05-30,Corpus Christi
2003-04-20,Páscoa
2003-03-04,Carnaval
2003-04-18,Sexta-feira Santa
2003-06-19,Corpus Christi
2004-04-11,Páscoa
2004-02-24,Carnaval
2004-04-09,Sexta-feira Santa
2004-06-10,Corpus Christi
2005-03-27,Páscoa
2005-02-08,Carnaval
2005-03-25,Sexta-feira Santa
2005-05-26,Corpus Christi
2006-04-16,Páscoa
2006-02-28,Carnaval
2006-04-14,Sexta-feira Santa
2006-06-15,Corpus Christi
2007-04-08,Páscoa
2007-02-20,Carnaval
2007-04-06,Sexta-feira Santa
2007-06-07,Corpus Christi
2008-03-23,Páscoa
2008-02-05,Carnaval
2008-03-21,Sexta-feira Santa
2008-05-22,Corpus Christi
2009-04-12,Páscoa
2009-02-24,Carnaval
2009-04-10,Sexta-feira Santa
2009-06-11,Corpus Christi
2010-04-04,Páscoa
2010-02-16,Carnaval
2010-04-02,Sexta-feira Santa
2010-06-03,Corpus Christi
2011-04-24,Páscoa
2011-03-08,Carnaval
2011-04-22,Sexta-feira Santa
2011-06-23,Corpus Christi
2012-04-08,Páscoa
2012-02-21,Carnaval
2012-04-06,Sexta-feira Santa
2012-06-07,Corpus Christi
2013-03-31,Páscoa
2013-02-12,Carnaval
2013-03-29,Sexta-feira Santa
2013-05-30,Corpus Christi
2014-04-20,Páscoa
2014-03-04,Carnaval
2014-04-18,Sexta-feira Santa
2014-06-19,Corpus Christi
2015-04-05,Páscoa
2015-02-17,Carnaval
2015-04-03,Sexta-feira Santa
2015-06-04,Corpus Christi
2016-03-27,Páscoa
2016-02-09,Carnaval
2016-03-25,Sexta-feira Santa
2016-05-26,Corpus Christi
2017-04-16,Páscoa
2017-02-28,Carnaval
2017-04-14,Sexta-feira Santa
2017-06-15,Corpus Christi
2018-04-01,Páscoa
2018-02-13,Carnaval
2018-03-30,Sexta-feira Santa
2018-05-31,Corpus Christi
2019-04-21,Páscoa
2019-03-05,Carnaval
2019-04-19,Sexta-feira Santa
2019-06-20,Corpus Christi
2020-04-12,Páscoa
2020-02-25,Carnaval
2020-04-10,Sexta-feira Santa
2020-06-11,Corpus Christi
2021-04-04,Páscoa
2021-02-16,Carnaval
2021-04-02,Sexta-feira Santa
2021-06-03,Corpus Christi
2022-04-17,Páscoa
2022-03-01,Carnaval
2022-04-15,Sexta-feira Santa
2022-06-16,Corpus Christi
2023-04-09,Páscoa
2023-02-21,Carnaval
2023-04-07,Sexta-feira Santa
2023-06-08,Corpus Christi
2024-03-31,Páscoa
2024-02-13,Carnaval
