"data";"valor_indicador";"ativo";"indicador"
1999-11-12;-57.839;MSFT;Commodity Channel Index (CCI)
1999-11-15;-86.451;MSFT;Commodity Channel Index (CCI)
1999-11-16;-94.792;MSFT;Commodity Channel Index (CCI)
1999-11-17;-136.613;MSFT;Commodity Channel Index (CCI)
1999-11-18;-137.926;MSFT;Commodity Channel Index (CCI)
1999-11-19;-94.761;MSFT;Commodity Channel Index (CCI)
1999-11-22;108.087;MSFT;Commodity Channel Index (CCI)
1999-11-23;102.407;MSFT;Commodity Channel Index (CCI)
1999-11-24;119.680;MSFT;Commodity Channel Index (CCI)
1999-11-26;120.154;MSFT;Commodity Channel Index (CCI)
1999-11-29;66.848;MSFT;Commodity Channel Index (CCI)
1999-11-30;69.527;MSFT;Commodity Channel Index (CCI)
1999-12-01;97.009;MSFT;Commodity Channel Index (CCI)
1999-12-02;129.462;MSFT;Commodity Channel Index (CCI)
1999-12-03;168.591;MSFT;Commodity Channel Index (CCI)
1999-12-06;117.896;MSFT;Commodity Channel Index (CCI)
1999-12-07;31.455;MSFT;Commodity Channel Index (CCI)
1999-12-08;-17.229;MSFT;Commodity Channel Index (CCI)
1999-12-09;-28.229;MSFT;Commodity Channel Index (CCI)
1999-12-10;5.840;MSFT;Commodity Channel Index (CCI)
1999-12-13;81.894;MSFT;Commodity Channel Index (CCI)
1999-12-14;162.802;MSFT;Commodity Channel Index (CCI)
1999-12-15;248.653;MSFT;Commodity Channel Index (CCI)
1999-12-16;213.062;MSFT;Commodity Channel Index (CCI)
1999-12-17;152.413;MSFT;Commodity Channel Index (CCI)
1999-12-20;95.112;MSFT;Commodity Channel Index (CCI)
1999-12-21;83.906;MSFT;Commodity Channel Index (CCI)
1999-12-22;85.558;MSFT;Commodity Channel Index (CCI)
1999-12-23;78.807;MSFT;Commodity Channel Index (CCI)
1999-12-27;75.025;MSFT;Commodity Channel Index (CCI)
1999-12-28;71.094;MSFT;Commodity Channel Index (CCI)
1999-12-29;65.365;MSFT;Commodity Channel Index (CCI)
1999-12-30;71.729;MSFT;Commodity Channel Index (CCI)
1999-12-31;13.825;MSFT;Commodity Channel Index (CCI)
2000-01-03;-45.029;MSFT;Commodity Channel Index (CCI)
2000-01-04;-148.880;MSFT;Commodity Channel Index (CCI)
2000-01-05;-164.252;MSFT;Commodity Channel Index (CCI)
2000-01-06;-168.357;MSFT;Commodity Channel Index (CCI)
2000-01-07;-128.232;MSFT;Commodity Channel Index (CCI)
2000-01-10;-58.945;MSFT;Commodity Channel Index (CCI)
2000-01-11;-85.841;MSFT;Commodity Channel Index (CCI)
2000-01-12;-158.152;MSFT;Commodity Channel Index (CCI)
2000-01-13;-134.696;MSFT;Commodity Channel Index (CCI)
2000-01-14;-11.015;MSFT;Commodity Channel Index (CCI)
2000-01-18;114.501;MSFT;Commodity Channel Index (CCI)
2000-01-19;-68.674;MSFT;Commodity Channel Index (CCI)
2000-01-20;-75.542;MSFT;Commodity Channel Index (CCI)
2000-01-21;-110.869;MSFT;Commodity Channel Index (CCI)
2000-01-24;-127.869;MSFT;Commodity Channel Index (CCI)
2000-01-25;-117.039;MSFT;Commodity Channel Index (CCI)
2000-01-26;-121.732;MSFT;Commodity Channel Index (CCI)
2000-01-27;-116.005;MSFT;Commodity Channel Index (CCI)
2000-01-28;-98.024;MSFT;Commodity Channel Index (CCI)
2000-01-31;-103.887;MSFT;Commodity Channel Index (CCI)
2000-02-01;-19.822;MSFT;Commodity Channel Index (CCI)
2000-02-02;7.870;MSFT;Commodity Channel Index (CCI)
2000-02-03;60.317;MSFT;Commodity Channel Index (CCI)
2000-02-04;177.788;MSFT;Commodity Channel Index (CCI)
2000-02-07;132.890;MSFT;Commodity Channel Index (CCI)
2000-02-08;148.513;MSFT;Commodity Channel Index (CCI)
2000-02-09;64.311;MSFT;Commodity Channel Index (CCI)
2000-02-10;37.667;MSFT;Commodity Channel Index (CCI)
2000-02-11;-54.289;MSFT;Commodity Channel Index (CCI)
2000-02-14;-101.496;MSFT;Commodity Channel Index (CCI)
2000-02-15;-117.418;MSFT;Commodity Channel Index (CCI)
2000-02-16;-109.388;MSFT;Commodity Channel Index (CCI)
2000-02-17;-79.861;MSFT;Commodity Channel Index (CCI)
2000-02-18;-100.132;MSFT;Commodity Channel Index (CCI)
2000-02-22;-118.551;MSFT;Commodity Channel Index (CCI)
2000-02-23;-119.841;MSFT;Commodity Channel Index (CCI)
2000-02-24;-99.877;MSFT;Commodity Channel Index (CCI)
2000-02-25;-122.357;MSFT;Commodity Channel Index (CCI)
2000-02-28;-128.204;MSFT;Commodity Channel Index (CCI)
2000-02-29;-120.298;MSFT;Commodity Channel Index (CCI)
2000-03-01;-75.733;MSFT;Commodity Channel Index (CCI)
2000-03-02;-8.760;MSFT;Commodity Channel Index (CCI)
2000-03-03;107.750;MSFT;Commodity Channel Index (CCI)
2000-03-06;-8.943;MSFT;Commodity Channel Index (CCI)
2000-03-07;54.466;MSFT;Commodity Channel Index (CCI)
2000-03-08;59.011;MSFT;Commodity Channel Index (CCI)
2000-03-09;171.705;MSFT;Commodity Channel Index (CCI)
2000-03-10;172.986;MSFT;Commodity Channel Index (CCI)
2000-03-13;84.092;MSFT;Commodity Channel Index (CCI)
2000-03-14;22.978;MSFT;Commodity Channel Index (CCI)
2000-03-15;-25.251;MSFT;Commodity Channel Index (CCI)
2000-03-16;-38.154;MSFT;Commodity Channel Index (CCI)
2000-03-17;45.829;MSFT;Commodity Channel Index (CCI)
2000-03-20;36.135;MSFT;Commodity Channel Index (CCI)
2000-03-21;118.851;MSFT;Commodity Channel Index (CCI)
2000-03-22;164.342;MSFT;Commodity Channel Index (CCI)
2000-03-23;212.610;MSFT;Commodity Channel Index (CCI)
2000-03-24;159.990;MSFT;Commodity Channel Index (CCI)
2000-03-27;51.855;MSFT;Commodity Channel Index (CCI)
2000-03-28;32.913;MSFT;Commodity Channel Index (CCI)
