"data";"ativo";"preco_abertura";"preco_alto";"preco_baixo";"preco_fechamento";"volume_negociado";"indicador";"valor_indicador";"rendimento_tesouro"
2024-12-18;VALE3.SA;55.770;55.870;54.760;54.810;34658200;Double Exponential Moving Average (DEMA);56.216;4.350
2024-12-18;PETR4.SA;38.280;38.400;37.310;37.310;58126400;Weighted Moving Average (WMA);38.485;4.350
2024-12-18;MSFT;451.320;452.650;437.020;437.390;24444545;Commodity Channel Index (CCI);-88.171;4.350
2024-12-18;ITUB4.SA;31.770;31.840;30.870;30.970;51334600;Triple Exponential Moving Average (TEMA);31.903;4.350
2024-12-18;GOOGL;195.220;197.000;187.740;188.400;34166074;Simple Moving Average (SMA);186.046;4.350
2024-12-18;AAPL;252.160;254.280;247.740;248.050;56774101;Exponential Moving Average (EMA);246.572;4.350
2024-12-17;VALE3.SA;55.880;56.400;55.650;56.110;22987600;Double Exponential Moving Average (DEMA);56.569;4.250
2024-12-17;PETR4.SA;37.940;38.490;37.830;38.300;39617200;Weighted Moving Average (WMA);38.514;4.250
2024-12-17;MSFT;451.010;455.290;449.570;454.460;22733494;Commodity Channel Index (CCI);118.836;4.250
2024-12-17;ITUB4.SA;31.800;32.180;31.600;31.880;40112700;Triple Exponential Moving Average (TEMA);32.109;4.250
2024-12-17;GOOGL;197.250;201.420;194.980;195.420;43504025;Simple Moving Average (SMA);183.619;4.250
2024-12-17;AAPL;250.080;253.830;249.780;253.480;51356360;Exponential Moving Average (EMA);245.331;4.250
2024-12-16;VALE3.SA;55.850;56.540;55.340;55.830;18958500;Double Exponential Moving Average (DEMA);57.008;4.250
2024-12-16;PETR4.SA;38.190;38.260;37.830;37.940;21349400;Weighted Moving Average (WMA);38.603;4.250
2024-12-16;MSFT;447.270;452.180;445.280;451.590;23598834;Commodity Channel Index (CCI);81.732;4.250
2024-12-16;ITUB4.SA;32.010;32.110;31.710;31.710;33022600;Triple Exponential Moving Average (TEMA);32.412;4.250
2024-12-16;GOOGL;192.870;199.000;192.620;196.660;44934901;Simple Moving Average (SMA);181.023;4.250
2024-12-16;AAPL;247.990;251.380;247.650;251.040;51694753;Exponential Moving Average (EMA);244.275;4.250
2024-12-13;VALE3.SA;56.480;56.710;55.700;55.860;18532800;Double Exponential Moving Average (DEMA);57.622;4.250
2024-12-13;PETR4.SA;38.600;38.730;37.920;38.100;23235400;Weighted Moving Average (WMA);38.632;4.250
2024-12-13;MSFT;448.435;451.430;445.580;447.270;20177833;Commodity Channel Index (CCI);69.129;4.250
2024-12-13;ITUB4.SA;32.530;32.630;32.050;32.060;24711700;Triple Exponential Moving Average (TEMA);32.730;4.250
2024-12-13;GOOGL;191.010;192.730;189.640;189.820;25143495;Simple Moving Average (SMA);178.594;4.250
2024-12-13;AAPL;247.815;249.290;246.240;248.130;33155290;Exponential Moving Average (EMA);243.450;4.250
2024-12-12;VALE3.SA;57.400;57.680;56.670;56.710;28841800;Double Exponential Moving Average (DEMA);58.172;4.180
2024-12-12;PETR4.SA;38.720;38.890;38.120;38.340;38310600;Weighted Moving Average (WMA);38.558;4.180
2024-12-12;MSFT;449.110;456.165;449.110;449.560;20834779;Commodity Channel Index (CCI);105.919;4.180
2024-12-12;ITUB4.SA;33.000;33.180;32.370;32.480;24253800;Triple Exponential Moving Average (TEMA);32.856;4.180
2024-12-12;GOOGL;195.000;195.180;191.710;191.960;34817486;Simple Moving Average (SMA);176.324;4.180
2024-12-12;AAPL;246.890;248.740;245.680;247.960;32777532;Exponential Moving Average (EMA);242.479;4.180
2024-12-11;VALE3.SA;59.500;59.590;58.450;58.840;30138500;Double Exponential Moving Average (DEMA);58.500;4.150
2024-12-11;PETR4.SA;40.350;40.760;39.950;40.590;46900900;Weighted Moving Average (WMA);38.436;4.150
2024-12-11;MSFT;444.050;450.350;444.050;448.990;19200208;Commodity Channel Index (CCI);93.351;4.150
2024-12-11;ITUB4.SA;33.020;33.750;32.650;33.310;31761400;Triple Exponential Moving Average (TEMA);32.732;4.150
2024-12-11;GOOGL;185.310;195.610;184.850;195.400;67894071;Simple Moving Average (SMA);173.704;4.150
2024-12-11;AAPL;247.960;250.800;246.260;246.490;45205814;Exponential Moving Average (EMA);241.499;4.150
2024-12-10;VALE3.SA;59.740;59.940;59.290;59.770;13089300;Double Exponential Moving Average (DEMA);58.003;4.150
2024-12-10;PETR4.SA;40.300;40.430;40.110;40.190;21837600;Weighted Moving Average (WMA);37.970;4.150
2024-12-10;MSFT;444.390;449.620;441.600;443.330;18469459;Commodity Channel Index (CCI);87.918;4.150
2024-12-10;ITUB4.SA;32.740;33.170;32.700;32.990;18930200;Triple Exponential Moving Average (TEMA);32.541;4.150
2024-12-10;GOOGL;182.845;186.360;181.050;185.170;54813022;Simple Moving Average (SMA);171.917;4.150
2024-12-10;AAPL;246.890;248.210;245.340;247.770;36914806;Exponential Moving Average (EMA);240.064;4.150
2024-12-09;VALE3.SA;58.500;60.190;58.370;59.830;40440600;Double Exponential Moving Average (DEMA);57.459;4.130
2024-12-09;PETR4.SA;39.380;40.170;39.360;40.040;28548700;Weighted Moving Average (WMA);37.779;4.130
2024-12-09;MSFT;442.600;448.330;440.500;446.020;19144388;Commodity Channel Index (CCI);110.748;4.130
2024-12-09;ITUB4.SA;32.750;33.130;32.750;32.860;16173000;Triple Exponential Moving Average (TEMA);32.460;4.130
2024-12-09;GOOGL;173.960;176.260;173.650;175.370;25389631;Simple Moving Average (SMA);170.223;4.130
2024-12-09;AAPL;241.830;247.240;241.750;246.750;44649232;Exponential Moving Average (EMA);238.547;4.130
2024-12-06;VALE3.SA;57.470;57.660;56.750;56.810;17897900;Double Exponential Moving Average (DEMA);57.279;4.100
2024-12-06;PETR4.SA;39.640;39.700;38.960;39.030;31118500;Weighted Moving Average (WMA);37.749;4.100
2024-12-06;MSFT;442.300;446.100;441.770;443.570;18821002;Commodity Channel Index (CCI);134.438;4.100
2024-12-06;ITUB4.SA;33.280;33.390;32.680;32.700;21391400;Triple Exponential Moving Average (TEMA);32.352;4.100
2024-12-06;GOOGL;172.030;175.080;171.860;174.710;21462393;Simple Moving Average (SMA);169.393;4.100
2024-12-06;AAPL;242.905;244.630;242.080;242.840;36870619;Exponential Moving Average (EMA);237.817;4.100
2024-12-05;VALE3.SA;57.460;57.800;56.870;57.800;14160000;Double Exponential Moving Average (DEMA);57.500;4.150
2024-12-05;PETR4.SA;39.390;39.810;39.210;39.640;25214200;Weighted Moving Average (WMA);37.657;4.150
2024-12-05;MSFT;437.920;444.660;436.171;442.620;21697775;Commodity Channel Index (CCI);151.260;4.150
